City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sfantu Gheorghe,RO,45.8667,25.7833,37.0,92,99,1.12,overcast clouds
80,Marawi,PH,7.9986,124.2928,80.01,80,89,3.0,overcast clouds
81,Siva,EG,29.2041,25.5195,48.87,57,0,7.34,clear sky
82,Garowe,SO,8.4054,48.4845,60.66,95,36,8.81,scattered clouds
83,Samarai,PG,-10.6167,150.6667,84.04,74,100,7.11,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,1,2.3,clear sky
85,Grindavik,IS,63.8424,-22.4338,33.8,86,75,4.61,broken clouds
86,Barrow,US,71.2906,-156.7887,-11.2,77,90,9.22,overcast clouds
87,Punta Arenas,CL,-53.15,-70.9167,46.4,81,40,20.71,scattered clouds
88,Great Yarmouth,GB,52.6083,1.7305,39.99,87,40,12.66,scattered clouds
89,Macklin,CA,52.3334,-109.9348,-2.2,92,49,3.44,scattered clouds
90,Voyvozh,RU,62.892,54.9635,-0.92,92,100,11.41,overcast clouds
91,Kraslava,LV,55.8951,27.168,25.77,97,100,9.89,light snow
92,Jamestown,US,42.097,-79.2353,19.0,73,90,13.8,light snow
93,Arshan,RU,46.2732,44.22,35.6,87,98,11.18,overcast clouds
94,Mount Gambier,AU,-37.8333,140.7667,66.2,63,90,12.66,overcast clouds
95,Merauke,ID,-8.4667,140.3333,83.12,80,100,16.11,overcast clouds
96,Carnarvon,AU,-24.8667,113.6333,105.8,21,0,18.41,clear sky
97,Talnakh,RU,69.4865,88.3972,-31.63,65,3,3.0,clear sky
98,Paamiut,GL,61.994,-49.6678,34.12,81,100,8.93,overcast clouds
99,Constitucion,CL,-35.3333,-72.4167,61.45,95,100,8.1,overcast clouds
100,Hami,CN,42.8,93.45,26.47,79,0,1.86,clear sky
101,Mahebourg,MU,-20.4081,57.7,78.8,89,40,8.05,scattered clouds
102,Bereda,ES,43.2686,-7.5406,48.99,96,67,15.99,broken clouds
103,Avarua,CK,-21.2078,-159.775,82.4,74,75,8.05,light rain
104,Chokurdakh,RU,70.6333,147.9167,-26.84,85,100,8.88,overcast clouds
105,Vila Velha,BR,-20.3297,-40.2925,78.8,78,75,6.91,broken clouds
106,New Norfolk,AU,-42.7826,147.0587,72.0,63,98,3.0,overcast clouds
107,Toamasina,MG,-18.1667,49.3833,75.2,94,40,4.61,scattered clouds
108,Chuy,UY,-33.6971,-53.4616,67.73,92,4,1.74,clear sky
109,Shingu,JP,33.7333,135.9833,44.6,49,40,17.27,scattered clouds
110,Whitefish,US,48.4111,-114.3376,33.8,86,90,3.44,mist
111,Mar Del Plata,AR,-38.0023,-57.5575,69.01,94,77,4.61,broken clouds
112,Dingle,PH,10.9995,122.6711,77.11,85,100,17.36,overcast clouds
113,Kavieng,PG,-2.5744,150.7967,84.31,76,100,14.52,overcast clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,47,25.1,scattered clouds
115,Nikolskoye,RU,59.7035,30.7861,30.2,93,90,8.95,light snow
116,Hargeysa,SO,9.56,44.065,56.26,79,0,4.29,clear sky
117,Sambava,MG,-14.2667,50.1667,75.0,90,19,5.48,few clouds
118,Sabang,ID,5.8933,95.3214,81.39,79,84,24.16,broken clouds
119,Svetlaya,RU,46.5389,138.3297,9.91,92,100,10.33,light snow
120,Seoul,KR,37.5683,126.9778,37.4,56,20,2.3,few clouds
121,Roald,NO,62.5833,6.1333,35.6,75,90,8.05,snow
122,Chicama,PE,-7.8447,-79.1469,73.26,69,88,6.4,overcast clouds
123,Zemio,CF,5.0314,25.1361,64.38,31,66,1.05,broken clouds
124,Gorin,RU,51.1983,136.6669,-2.54,89,100,6.58,overcast clouds
125,Mpika,ZM,-11.8343,31.4529,61.02,93,100,2.35,overcast clouds
126,Bellinge,DK,55.3354,10.3204,32.0,86,75,6.91,broken clouds
127,Bengkulu,ID,-3.8004,102.2655,84.69,63,100,2.35,overcast clouds
128,Havoysund,NO,70.9963,24.6622,19.4,79,40,9.22,scattered clouds
129,Jalu,LY,29.0331,21.5482,53.65,71,0,10.18,clear sky
130,Chillan,CL,-36.6066,-72.1034,60.8,100,90,10.36,overcast clouds
131,Yangjiang,CN,21.85,111.9667,71.01,45,27,9.75,scattered clouds
132,Buraydah,SA,26.326,43.975,48.2,71,0,4.61,clear sky
133,Dutlwe,BW,-23.9833,23.9,69.21,86,76,8.52,broken clouds
134,Port-Gentil,GA,-0.7193,8.7815,80.24,82,100,12.01,overcast clouds
135,Constantine,DZ,36.365,6.6147,44.6,87,0,2.3,clear sky
136,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,27.63,snow
137,Finspang,SE,58.7058,15.7674,12.2,85,100,5.75,overcast clouds
138,Pangnirtung,CA,66.1451,-65.7125,-5.8,65,1,2.3,clear sky
139,Port Lincoln,AU,-34.7333,135.8667,67.66,54,27,13.35,scattered clouds
140,Kalmunai,LK,7.4167,81.8167,78.4,85,36,8.57,scattered clouds
141,Kaitangata,NZ,-46.2817,169.8464,57.99,70,36,8.01,scattered clouds
142,La Asuncion,VE,11.0333,-63.8628,74.98,88,69,10.98,broken clouds
143,Champerico,GT,14.3,-91.9167,64.99,89,47,6.71,scattered clouds
144,Acapulco,MX,16.8634,-99.8901,80.6,83,90,5.75,overcast clouds
145,Hasaki,JP,35.7333,140.8333,46.0,22,20,24.16,few clouds
146,Bethel,US,41.3712,-73.414,14.0,52,1,5.75,clear sky
147,Veraval,IN,20.9,70.3667,66.0,29,93,14.07,overcast clouds
148,Komsomolskiy,UZ,40.4272,71.7189,28.4,54,41,11.5,scattered clouds
149,Tula,RU,54.2044,37.6111,17.44,97,91,9.75,light snow
150,Hilo,US,19.7297,-155.09,75.2,73,90,6.91,moderate rain
151,Luderitz,NA,-26.6481,15.1594,65.17,53,0,22.37,clear sky
152,Tomatlan,MX,19.9333,-105.25,76.59,42,2,5.46,clear sky
153,Olinda,BR,-8.0089,-34.8553,78.8,69,40,8.05,scattered clouds
154,Bandarban,BD,22.1965,92.2262,73.42,31,0,3.49,clear sky
155,Khatanga,RU,71.9667,102.5,-43.28,75,0,3.24,clear sky
156,Cockburn Town,TC,21.4612,-71.1419,72.57,72,2,21.21,clear sky
157,Jibuti,DJ,11.5,42.5,71.6,83,75,8.12,haze
158,Aitape,PG,-3.1374,142.3475,83.35,76,100,10.8,light rain
159,Kahului,US,20.8947,-156.47,75.2,69,40,19.57,scattered clouds
160,Havelock,US,34.8791,-76.9013,32.0,55,1,5.75,clear sky
161,Boende,CD,-0.2167,20.8667,70.63,92,92,2.71,overcast clouds
162,Catuday,PH,16.2923,119.8062,77.38,66,3,10.02,clear sky
163,Muyezerskiy,RU,63.9333,31.65,16.81,97,100,8.88,light snow
164,Tasiilaq,GL,65.6145,-37.6368,15.8,53,90,21.85,overcast clouds
165,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.9,87,83,2.44,broken clouds
166,Mineiros,BR,-17.5694,-52.5511,68.58,91,100,5.01,overcast clouds
167,Catamarca,AR,-28.4696,-65.7852,75.0,84,77,1.99,broken clouds
168,Vadso,NO,70.0744,29.7487,12.2,85,40,3.44,light snow
169,Zheleznodorozhnyy,RU,55.7503,38.0042,26.6,80,75,6.71,broken clouds
170,Lorengau,PG,-2.0226,147.2712,85.08,75,100,10.69,overcast clouds
171,Kushmurun,KZ,52.4503,64.6311,16.05,92,100,8.68,overcast clouds
172,Port Blair,IN,11.6667,92.75,82.56,71,29,9.82,scattered clouds
173,Tigre,AR,-34.426,-58.5796,75.0,88,0,3.44,clear sky
174,Skelleftea,SE,64.7507,20.9528,8.6,85,90,9.22,light snow
175,Dobryanka,RU,58.4619,56.4165,24.8,74,75,13.42,light snow
176,Port Macquarie,AU,-31.4333,152.9167,84.0,65,94,1.99,overcast clouds
177,Takoradi,GH,4.8845,-1.7554,77.85,85,29,6.53,scattered clouds
178,Coquimbo,CL,-29.9533,-71.3436,62.6,82,20,5.75,few clouds
179,Port Alfred,ZA,-33.5906,26.891,64.99,82,4,6.44,clear sky
180,East London,ZA,-33.0153,27.9116,69.3,72,35,2.86,scattered clouds
181,Rocha,UY,-34.4833,-54.3333,65.61,88,4,3.65,clear sky
182,Upernavik,GL,72.7868,-56.1549,-8.64,83,1,10.49,clear sky
183,Shimoda,JP,34.6667,138.95,46.4,46,40,5.75,scattered clouds
184,Piney Green,US,34.716,-77.3202,30.2,69,1,3.44,clear sky
185,Lompoc,US,34.6391,-120.4579,44.6,100,1,2.55,clear sky
186,Beringovskiy,RU,63.05,179.3167,-17.12,83,0,9.37,clear sky
187,Fortuna Foothills,US,32.6578,-114.4119,55.4,50,1,10.36,clear sky
188,Clyde River,CA,70.4692,-68.5914,-16.6,83,1,5.75,clear sky
189,Ilulissat,GL,69.2167,-51.1,-0.4,55,0,8.05,clear sky
190,Mineral Wells,US,32.8085,-98.1128,55.4,67,1,10.36,clear sky
191,Tura,IN,25.5198,90.2201,65.25,37,0,2.53,clear sky
192,Bambous Virieux,MU,-20.3428,57.7575,82.0,89,40,8.05,scattered clouds
193,Deep River,CA,46.1001,-77.4995,3.2,72,1,6.91,clear sky
194,Tecoanapa,MX,16.5167,-98.75,76.33,75,72,2.26,broken clouds
195,Lata,PT,40.1629,-8.3327,57.99,94,100,3.0,overcast clouds
196,Talcahuano,CL,-36.7167,-73.1167,57.2,100,90,10.36,overcast clouds
197,Sondrio,IT,46.169,9.8692,43.0,87,2,9.1,clear sky
198,Inuvik,CA,68.3499,-133.7218,-27.4,68,77,1.39,broken clouds
199,Dickinson,US,29.4608,-95.0513,57.99,94,40,9.22,scattered clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,88,75,5.75,broken clouds
201,Alakurtti,RU,66.9672,30.3491,16.0,90,100,1.99,light snow
202,Paita,PE,-5.0892,-81.1144,75.27,73,41,12.41,scattered clouds
203,Erenhot,CN,43.6475,111.9767,19.2,90,0,19.86,clear sky
204,Souillac,MU,-20.5167,57.5167,78.8,89,40,8.05,scattered clouds
205,Tytuvenai,LT,55.6,23.2,28.4,86,90,11.5,overcast clouds
206,Bull Savanna,JM,17.8868,-77.5902,71.44,83,14,9.35,few clouds
207,Saldanha,ZA,-33.0117,17.9442,65.12,83,46,12.03,scattered clouds
208,La Brea,HN,15.8,-85.9667,69.13,91,32,3.8,scattered clouds
209,Okha,RU,53.5739,142.9478,-0.58,87,100,11.56,overcast clouds
210,Cabo San Lucas,MX,22.8909,-109.9124,68.0,82,1,4.61,clear sky
211,Sayyan,YE,15.1718,44.3244,44.69,73,31,1.12,scattered clouds
212,Muli,MV,2.9167,73.5667,80.78,77,15,14.97,few clouds
213,Wagar,SD,16.1525,36.2032,66.4,90,2,12.53,clear sky
214,Calatayud,ES,41.3535,-1.6432,57.2,76,0,4.61,clear sky
