City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Namibe,AO,73.29,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
530,Palmerston,AU,79.0,moderate rain,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
535,Kontagora,NG,72.41,few clouds,10.3999,5.4695,City Gate Inn
539,Alyangula,AU,89.6,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
541,Caxito,AO,78.8,scattered clouds,-8.5785,13.6643,
542,Bonthe,SL,76.86,clear sky,7.5264,-12.505,Bonthe Holiday Village
548,Sao Desiderio,BR,71.42,clear sky,-12.3633,-44.9733,Meu cantinho
549,Barra Patuca,HN,74.52,few clouds,15.8,-84.2833,
550,Maumere,ID,81.0,overcast clouds,-8.6199,122.2111,Sylvia Hotel
551,Kalmunai,LK,80.37,scattered clouds,7.4167,81.8167,VS Villa
553,Harper,LR,77.77,clear sky,4.375,-7.7169,Screensaver
561,Galle,LK,81.14,clear sky,6.0367,80.217,Amangalla
562,Ambilobe,MG,76.28,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Maymyo,MM,73.4,clear sky,22.0333,96.4667,Tiger Hotel
575,Nova Olinda Do Norte,BR,74.68,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
577,Sao Jose Da Coroa Grande,BR,77.47,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
579,Canoa,DO,71.26,clear sky,18.355,-71.1585,Col julia
581,Fonte Boa,BR,76.42,overcast clouds,-2.4959,-66.2662,
583,Turan,VN,77.0,few clouds,16.0678,108.2208,Grand Mercure Danang
584,Hualmay,PE,70.59,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
587,Cap Malheureux,MU,84.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
592,Say,NE,73.4,dust,13.1007,2.3689,
594,Wajir,KE,71.83,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
602,Gizo,SB,86.83,light rain,-8.103,156.8419,Imagination Island
604,Urucara,BR,73.76,broken clouds,-2.5364,-57.76,Hotel japa
606,Balikpapan,ID,86.0,scattered clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
608,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
609,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
612,Kavaratti,IN,80.35,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
613,Acajutla,SV,79.0,scattered clouds,13.5928,-89.8275,asi es
614,Machiques,VE,75.79,broken clouds,10.0644,-72.545,hotel el markes
620,Mattru,SL,74.08,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
635,Balabac,PH,81.99,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
641,Huarmey,PE,70.86,overcast clouds,-10.0681,-78.1522,Hotel Miramar
643,Ternate,ID,83.7,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
645,Negombo,LK,78.8,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
647,Port Macquarie,AU,82.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
650,Alta Floresta,BR,71.55,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
651,Uchiza,PE,70.88,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
654,Panubigan,PH,83.77,scattered clouds,7.4281,123.3466,Parish Beach
660,Prainha,BR,75.09,scattered clouds,-1.8,-53.48,Casa Rocha
663,Machilipatnam,IN,78.8,mist,16.1667,81.1333,RK Family Restaurant
665,Sawtell,AU,80.01,broken clouds,-30.3833,153.1,Island Beach House Sawtell
668,Moron,AR,77.0,clear sky,-34.6534,-58.6198,Hotel Morón
670,Byron Bay,AU,86.0,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
673,Hervey Bay,AU,84.99,broken clouds,-25.2986,152.8535,Shelly Bay Resort
677,Tabanan,ID,84.2,few clouds,-8.5413,115.1252,Puri Anom Homestay
679,Jatiroto,ID,80.85,overcast clouds,-7.8833,111.1167,Mushola Al Huda
680,Batticaloa,LK,79.86,few clouds,7.7102,81.6924,Grand Star Guest House
681,Pobe,BJ,73.71,broken clouds,6.9801,2.6649,Hôtel Étoile d'Or de Pobé
